job_role,industry,automation_risk_pct,risk_level,automation_exposure_pct,task_repetition_pct,creativity_requirement_pct,physical_labor_pct,analytical_complexity_pct,social_interaction_pct,avg_salary_usd,experience_required_years,education_level,job_demand_index,job_growth_rate,skill_complexity_score,training_hours_needed,ai_dependency_current,ai_dependency_future,ai_tool_availability
Graphic Designer,Healthcare,74.56,High,37.73,29.71,41.91,31.33,52.16,55.22,85739,11,Master,0.4992,0.0249,0.7767,98,0.895,0.0965,AutoGPT
Nurse,Construction,24.44,Low,33.54,42.66,58.3,41.78,16.18,0.17,111685,2,High School,0.845,0.0242,0.2379,453,0.4409,0.145,Gemini
Graphic Designer,Manufacturing,70.24,High,29.36,18.6,14.71,15.95,53.52,63.64,78639,6,Master,0.7593,0.0876,0.7076,399,0.8508,0.5175,Midjourney
Mechanic,Marketing,75.38,High,50.99,11.11,76.54,50.61,91.27,74.89,30992,12,Master,0.4493,0.0068,0.7209,34,0.279,0.5332,Gemini
Accountant,Construction,54.31,Medium,27.45,72.28,74.42,8.52,1.56,24.9,102394,12,Bachelor,0.2822,-0.0993,0.6378,62,0.8899,0.4678,Gemini
Business Analyst,Energy,80.7,High,31.89,26.75,90.33,4.65,64.26,46.46,97657,0,Bachelor,0.8543,0.053,0.3643,477,0.636,0.0128,AutoGPT
Mechanic,Finance,7.13,Low,47.12,82.01,0.85,51.98,7.37,96.57,57160,1,Bachelor,0.8702,0.1382,0.7851,389,0.1944,0.5056,Copilot
Nurse,Education,59.48,Medium,41.67,99.56,21.67,24.79,0.64,29.81,75156,0,Bachelor,0.4537,-0.0358,0.6284,87,0.7865,0.1337,None
Software Engineer,Legal,47.99,Medium,10.75,7.66,82.72,9.54,15.07,22.32,116442,7,Bachelor,0.6958,0.104,0.5904,123,0.9137,0.5664,AutoGPT
UX Designer,Education,80.52,High,44.0,47.3,67.06,42.39,42.29,21.09,147925,4,Bachelor,0.3693,0.0139,0.8192,397,0.5704,0.2883,Claude
Product Manager,Construction,12.8,Low,83.98,80.21,89.44,91.51,80.23,55.88,34136,7,PhD,0.1491,0.0607,0.2446,465,0.7604,0.9915,None
Graphic Designer,Education,21.26,Low,59.83,78.9,5.72,72.42,28.18,94.98,91868,2,Master,0.3215,0.1227,0.2325,491,0.7948,0.3592,ChatGPT
Teacher,Tech,55.87,Medium,73.38,76.0,59.7,81.56,62.57,60.87,112263,12,Master,0.6821,0.0928,0.3864,357,0.7874,0.8208,Midjourney
Doctor,Education,94.72,High,54.4,34.9,56.9,87.19,41.12,30.33,62167,11,Master,0.7694,0.1211,0.0731,321,0.4544,0.2456,Copilot
Product Manager,Retail,8.32,Low,55.36,45.39,3.57,97.26,23.43,63.86,140957,6,Bachelor,0.8517,-0.0976,0.3374,267,0.7399,0.1895,ChatGPT
Customer Support,Manufacturing,74.34,High,62.42,59.5,51.35,76.32,51.42,62.48,45479,7,Bachelor,0.0177,-0.0532,0.4063,154,0.5485,0.2211,ChatGPT
Business Analyst,Finance,20.54,Low,79.33,97.39,60.95,60.84,79.75,59.69,149392,14,Master,0.4864,0.0059,0.4951,205,0.4147,0.3331,None
Consultant,Education,10.54,Low,50.85,32.75,19.13,36.54,83.25,15.94,165895,5,Bachelor,0.2739,0.112,0.254,313,0.1658,0.8489,Copilot
Accountant,Healthcare,39.48,Medium,65.04,92.31,27.33,18.16,84.65,63.46,49585,12,PhD,0.684,0.1096,0.9068,491,0.909,0.764,Midjourney
Mechanic,Manufacturing,58.31,Medium,43.15,26.94,64.03,68.67,33.86,43.02,178344,12,Bachelor,0.2453,-0.0537,0.2851,420,0.4149,0.4354,Claude
Doctor,Manufacturing,82.7,High,92.58,98.91,46.83,99.49,79.35,1.86,56619,6,Bachelor,0.5663,-0.0644,0.8516,476,0.2396,0.1881,Copilot
Accountant,Education,63.47,Medium,44.99,67.03,85.8,46.74,21.22,53.98,105069,13,Master,0.712,0.1087,0.445,357,0.2423,0.0487,Copilot
Software Engineer,Manufacturing,49.17,Medium,64.19,46.35,34.24,72.37,73.84,98.93,69895,11,PhD,0.7701,0.0354,0.7182,111,0.2421,0.6185,Copilot
Sales Manager,Legal,28.57,Low,68.56,61.34,26.67,49.51,94.84,34.97,33720,1,High School,0.2695,0.0567,0.1109,299,0.0025,0.7068,Midjourney
Electrician,Education,29.26,Low,23.94,27.25,98.49,43.19,1.37,96.56,49267,7,Master,0.0878,0.1023,0.5446,361,0.4382,0.6061,Copilot
Accountant,Tech,77.06,High,37.49,27.42,91.11,41.03,44.04,9.62,176768,4,Bachelor,0.2187,-0.0471,0.9608,178,0.8907,0.5013,Copilot
Mechanic,Construction,11.41,Low,42.2,11.36,2.9,50.46,64.78,73.25,83364,6,Bachelor,0.5991,-0.0659,0.6663,104,0.0251,0.9729,Gemini
Teacher,Retail,14.65,Low,39.42,11.41,77.07,36.69,70.18,11.43,81567,0,Master,0.0404,0.1148,0.8203,271,0.9566,0.0247,Gemini
Software Engineer,Marketing,71.97,High,42.42,34.77,11.03,74.88,17.61,27.36,121229,4,Bachelor,0.1589,-0.0721,0.2611,271,0.1791,0.9884,Gemini
Electrician,Energy,96.1,High,86.98,76.29,2.75,87.43,97.22,57.08,108518,0,Bachelor,0.9955,-0.078,0.8002,37,0.7189,0.2763,Gemini
Accountant,Manufacturing,12.02,Low,70.2,60.8,27.37,88.29,61.53,59.28,112844,11,Bachelor,0.3823,-0.0307,0.3513,145,0.7853,0.3831,Copilot
Business Analyst,Tech,60.94,Medium,16.49,10.26,26.93,22.77,16.43,77.52,120697,12,Bachelor,0.4965,-0.0208,0.4851,138,0.7351,0.7525,None
Lawyer,Finance,23.92,Low,58.96,85.22,81.93,89.59,2.05,61.53,87196,7,Bachelor,0.011,-0.0397,0.188,345,0.3392,0.2271,Gemini
Product Manager,Finance,2.58,Low,57.54,60.14,71.07,34.16,78.33,59.36,145600,14,Bachelor,0.5919,0.0854,0.4857,499,0.7038,0.7098,ChatGPT
Doctor,Energy,83.23,High,45.0,96.09,98.16,30.93,7.97,91.24,130625,3,High School,0.3253,0.1433,0.5157,476,0.473,0.3326,None
Business Analyst,Retail,50.86,Medium,51.27,67.02,71.15,72.68,14.11,45.22,161567,3,PhD,0.5302,-0.0501,0.6223,283,0.1522,0.9406,Claude
Doctor,Manufacturing,2.39,Low,35.16,17.52,41.83,30.47,57.48,22.53,74755,1,Bachelor,0.5261,0.0955,0.8686,231,0.2009,0.1717,Gemini
Lawyer,Legal,89.55,High,37.68,47.38,69.89,5.3,60.35,16.18,63324,4,Master,0.9675,-0.0889,0.3049,345,0.026,0.9318,Midjourney
Marketing Specialist,Energy,53.57,Medium,56.97,64.85,99.95,37.36,68.69,40.0,108929,0,Bachelor,0.2683,-0.0703,0.9841,490,0.332,0.7911,Claude
Mechanic,Retail,73.71,High,38.11,2.83,71.01,72.15,39.35,71.28,162624,8,Bachelor,0.5704,0.0288,0.8477,132,0.728,0.1702,AutoGPT
Product Manager,Manufacturing,42.35,Medium,37.19,1.49,76.17,32.7,77.39,4.25,81272,4,Bachelor,0.3816,0.1499,0.4029,101,0.969,0.3876,AutoGPT
Marketing Specialist,Tech,18.49,Low,57.78,12.94,93.84,62.96,97.44,12.91,104462,5,Bachelor,0.422,0.1373,0.2267,440,0.1336,0.1043,ChatGPT
Nurse,Construction,46.56,Medium,39.43,25.17,11.37,66.01,27.11,10.61,84675,1,Bachelor,0.0556,-0.072,0.0715,473,0.3533,0.5997,Claude
Product Manager,Legal,28.77,Low,62.21,42.95,70.48,73.37,70.3,58.53,103591,9,Bachelor,0.6885,-0.0401,0.2344,20,0.1815,0.9605,Claude
Marketing Specialist,Marketing,29.67,Low,77.1,48.74,85.08,89.71,92.85,24.29,62363,9,Bachelor,0.1953,0.1364,0.8845,15,0.7609,0.0792,ChatGPT
Data Analyst,Finance,64.39,Medium,41.9,13.8,95.44,43.26,68.63,16.63,107004,0,High School,0.4685,-0.0623,0.292,407,0.9196,0.2581,AutoGPT
Graphic Designer,Healthcare,9.41,Low,50.7,67.34,21.1,16.64,68.11,59.28,70718,3,Bachelor,0.4343,0.0857,0.138,377,0.114,0.7554,Gemini
Nurse,Tech,39.7,Medium,37.96,59.61,50.39,31.89,22.38,76.13,143627,6,High School,0.4681,-0.0997,0.0227,237,0.9036,0.4583,ChatGPT
Data Analyst,Finance,54.66,Medium,42.06,29.45,68.06,43.22,53.51,33.22,56870,5,High School,0.3755,0.0579,0.2977,31,0.2715,0.339,Midjourney
Teacher,Education,70.99,High,43.0,1.37,24.75,71.39,56.25,57.82,67394,9,Master,0.2424,0.0237,0.2162,497,0.2231,0.6012,ChatGPT
Doctor,Healthcare,63.29,Medium,26.36,7.76,60.05,1.31,70.01,9.81,82057,0,Bachelor,0.4487,0.0178,0.1022,224,0.0566,0.294,Copilot
Plumber,Finance,88.62,High,56.81,39.17,25.76,31.58,99.68,93.52,109795,0,Bachelor,0.0462,0.1073,0.9511,424,0.0805,0.3289,AutoGPT
Civil Engineer,Retail,99.24,High,32.25,15.4,33.35,77.98,3.36,33.69,110409,7,Bachelor,0.2423,-0.0798,0.2676,293,0.0692,0.8061,Copilot
Consultant,Legal,93.74,High,37.1,37.68,44.15,67.09,6.52,99.75,43016,3,Master,0.7848,-0.0057,0.0062,412,0.4464,0.3916,AutoGPT
Doctor,Finance,76.42,High,47.93,62.82,52.92,73.17,7.8,97.86,72137,4,Bachelor,0.8428,0.0115,0.9443,124,0.6586,0.7006,AutoGPT
Customer Support,Marketing,68.6,Medium,70.07,54.72,44.94,81.18,74.3,77.88,161225,12,Master,0.7153,-0.069,0.5785,223,0.1844,0.1508,Claude
Customer Support,Construction,3.54,Low,38.36,23.12,49.32,78.32,13.64,2.01,168925,6,Bachelor,0.6326,-0.0786,0.0828,394,0.2176,0.3988,Gemini
Data Analyst,Retail,53.35,Medium,54.95,34.38,29.86,68.22,62.25,54.35,42379,7,PhD,0.8113,-0.0551,0.0314,460,0.1729,0.5519,Gemini
HR Specialist,Tech,66.37,Medium,45.95,61.4,15.9,43.97,32.47,8.68,176864,14,Master,0.1278,-0.0397,0.1078,465,0.8066,0.2673,AutoGPT
Electrician,Tech,41.29,Medium,76.73,86.09,4.73,98.36,45.73,89.51,151169,9,Master,0.5253,0.1415,0.5915,150,0.1372,0.4216,AutoGPT
Graphic Designer,Tech,38.48,Medium,51.26,75.32,19.6,56.91,21.57,78.96,179172,6,High School,0.1163,0.0189,0.0619,188,0.0734,0.7598,Copilot
Nurse,Tech,54.25,Medium,54.08,55.34,58.19,20.28,86.61,97.23,156082,1,Bachelor,0.7779,0.0276,0.5681,10,0.0367,0.1615,Midjourney
Graphic Designer,Construction,90.66,High,41.38,36.23,78.61,29.28,58.62,60.84,143089,13,Bachelor,0.5206,0.0767,0.6525,38,0.0402,0.5008,ChatGPT
Nurse,Finance,26.09,Low,66.77,36.51,16.92,69.36,94.46,52.22,41049,14,Bachelor,0.81,0.0711,0.1476,406,0.5467,0.2618,AutoGPT
Doctor,Manufacturing,39.91,Medium,79.29,87.94,10.86,92.47,57.46,51.9,161858,3,Master,0.7991,0.0257,0.4884,307,0.094,0.4102,AutoGPT
Teacher,Finance,65.31,Medium,11.4,3.92,74.93,17.87,12.39,38.64,152784,9,High School,0.4662,-0.015,0.9639,294,0.2224,0.3754,ChatGPT
Software Engineer,Education,18.6,Low,41.37,98.8,30.52,8.23,17.09,46.87,77691,11,High School,0.4969,-0.0172,0.8365,359,0.8327,0.6553,ChatGPT
Data Analyst,Legal,83.49,High,84.5,66.44,95.15,88.15,98.91,63.54,87986,0,Bachelor,0.0283,-0.0856,0.7234,409,0.9681,0.7672,Midjourney
Lawyer,Healthcare,66.61,Medium,77.4,68.11,71.43,91.53,72.56,93.29,124774,9,High School,0.5235,0.1249,0.5177,325,0.8609,0.4997,Midjourney
HR Specialist,Manufacturing,35.23,Medium,12.12,3.8,32.68,27.64,4.93,59.59,135315,8,High School,0.6775,0.0923,0.3943,114,0.9596,0.1666,ChatGPT
Customer Support,Manufacturing,72.22,High,56.22,60.55,28.95,37.73,70.38,85.71,87204,2,Master,0.2337,0.0558,0.4514,171,0.6705,0.8686,AutoGPT
Teacher,Finance,27.93,Low,51.9,48.48,52.37,66.02,41.22,86.28,50085,11,Bachelor,0.9865,-0.001,0.7646,49,0.9872,0.1862,AutoGPT
Doctor,Manufacturing,77.45,High,24.76,10.58,7.91,32.99,30.72,51.88,63980,2,High School,0.9748,0.0456,0.5543,460,0.4963,0.5785,ChatGPT
Customer Support,Energy,7.07,Low,43.64,27.79,11.77,87.72,15.41,34.75,86117,9,Bachelor,0.2828,0.0213,0.7647,358,0.7947,0.5273,AutoGPT
Data Analyst,Energy,42.68,Medium,61.26,89.03,17.59,10.76,83.99,63.96,175213,8,Bachelor,0.713,-0.0315,0.9699,231,0.9717,0.2867,Midjourney
Customer Support,Education,26.16,Low,21.73,55.0,77.47,3.8,6.38,44.59,170416,9,High School,0.03,-0.0254,0.6405,448,0.7093,0.9529,ChatGPT
HR Specialist,Healthcare,81.67,High,30.39,41.34,51.39,20.85,28.98,8.14,45896,2,Bachelor,0.6658,0.1186,0.6031,451,0.9567,0.6767,Midjourney
Product Manager,Marketing,75.27,High,22.17,7.27,1.06,28.61,30.64,37.78,119353,7,Master,0.624,0.0587,0.4062,61,0.2536,0.47,AutoGPT
Business Analyst,Construction,84.19,High,32.93,71.41,67.35,11.29,16.09,99.41,59813,1,Master,0.8222,-0.0996,0.1968,73,0.3003,0.4435,AutoGPT
Customer Support,Finance,65.16,Medium,42.56,70.29,42.37,6.57,50.82,4.85,95679,13,Master,0.3044,-0.0183,0.3742,491,0.3972,0.0925,Claude
Data Analyst,Construction,79.53,High,46.05,61.4,51.09,75.56,1.17,69.67,171753,12,High School,0.878,-0.015,0.5201,13,0.4646,0.7807,Copilot
HR Specialist,Marketing,43.88,Medium,32.52,51.03,21.41,16.43,30.1,84.12,33228,2,PhD,0.858,0.0766,0.0349,441,0.8974,0.0836,Copilot
Business Analyst,Finance,67.81,Medium,76.04,43.38,55.18,91.39,93.36,64.87,165654,1,Master,0.6696,0.0751,0.4758,465,0.8879,0.2007,None
Graphic Designer,Finance,3.11,Low,42.39,59.33,97.92,36.8,31.05,56.97,41397,0,Master,0.4723,0.016,0.8621,376,0.658,0.1645,Midjourney
Nurse,Healthcare,88.07,High,42.15,23.34,7.34,67.06,36.05,70.76,67011,1,High School,0.6184,0.1377,0.9766,27,0.2323,0.0682,ChatGPT
Product Manager,Construction,68.48,Medium,54.66,94.13,28.39,22.54,47.32,42.93,109183,7,Master,0.73,0.1181,0.8555,351,0.2404,0.8296,Copilot
Product Manager,Energy,86.61,High,46.36,58.88,24.3,24.03,56.17,9.14,123254,8,Master,0.9753,0.1166,0.172,19,0.6317,0.9063,AutoGPT
Electrician,Tech,77.09,High,56.49,31.12,24.85,57.47,80.87,96.24,72317,12,Master,0.1217,-0.0129,0.155,380,0.5034,0.6255,Gemini
Marketing Specialist,Construction,28.64,Low,40.02,44.97,37.87,56.06,19.03,43.23,132489,1,High School,0.3131,0.0077,0.3933,279,0.2585,0.8778,ChatGPT
Civil Engineer,Legal,27.29,Low,81.54,80.57,81.81,76.87,87.17,66.54,70096,6,Master,0.7807,0.0047,0.2254,444,0.1682,0.6751,Midjourney
Graphic Designer,Legal,79.96,High,55.9,16.16,91.29,75.78,75.75,53.13,83785,14,PhD,0.4092,0.0101,0.676,383,0.7226,0.685,AutoGPT
Consultant,Finance,18.47,Low,56.21,29.28,20.22,67.07,72.27,5.47,82344,4,Bachelor,0.6725,0.1223,0.0846,375,0.8132,0.8895,AutoGPT
UX Designer,Tech,11.07,Low,40.51,67.95,54.29,44.91,8.68,95.27,150382,2,Bachelor,0.1331,-0.0377,0.4437,360,0.2613,0.0919,Gemini
Accountant,Retail,1.5,Low,40.93,31.55,63.69,89.06,2.16,79.25,140489,8,Master,0.7092,0.1005,0.2804,108,0.4249,0.0547,Midjourney
HR Specialist,Marketing,29.84,Low,66.97,79.25,52.18,62.26,59.4,14.91,41549,14,Bachelor,0.6741,0.0285,0.5954,311,0.7135,0.0536,None
Graphic Designer,Education,9.93,Low,66.13,13.05,43.41,99.02,86.31,98.16,55739,5,Bachelor,0.5858,-0.0377,0.7971,203,0.4692,0.4179,ChatGPT
Marketing Specialist,Tech,80.17,High,72.22,76.27,19.2,81.94,58.44,73.69,51209,10,Bachelor,0.7652,0.0318,0.9236,326,0.9613,0.9464,AutoGPT
Product Manager,Education,48.45,Medium,10.86,6.84,48.82,4.43,21.32,47.23,137051,0,Master,0.8801,-0.0511,0.9639,395,0.1296,0.8699,None
Plumber,Construction,25.25,Low,14.12,1.26,40.12,32.06,9.05,61.14,45116,4,High School,0.8293,-0.073,0.3512,428,0.8543,0.782,Claude
Accountant,Construction,60.21,Medium,72.32,89.82,79.56,57.19,69.96,10.67,50045,6,Bachelor,0.1276,0.1095,0.8558,43,0.3061,0.4039,AutoGPT
Marketing Specialist,Education,7.04,Low,67.49,58.13,76.36,72.15,72.18,56.04,65709,3,Bachelor,0.7444,0.0748,0.592,358,0.687,0.8242,Claude
Graphic Designer,Marketing,72.61,High,35.82,35.18,13.4,55.03,17.25,7.37,73617,7,Master,0.4498,-0.0488,0.6923,335,0.2537,0.2185,Claude
Civil Engineer,Tech,50.14,Medium,34.9,23.26,8.85,78.61,2.82,54.49,149779,9,Bachelor,0.3339,0.1356,0.8511,461,0.9665,0.5854,ChatGPT
Software Engineer,Retail,0.65,Low,43.59,61.69,90.82,28.27,40.83,55.27,72919,4,Master,0.8796,-0.0939,0.1301,74,0.0501,0.7459,ChatGPT
Electrician,Finance,31.92,Medium,42.52,50.9,53.55,18.39,58.27,87.44,113521,8,Master,0.5596,-0.0167,0.9474,172,0.5136,0.0924,Gemini
Marketing Specialist,Healthcare,75.02,High,58.38,99.16,85.78,5.39,70.6,72.51,36447,8,High School,0.5012,-0.0946,0.5474,185,0.9105,0.8741,AutoGPT
Sales Manager,Construction,18.81,Low,78.88,98.32,5.82,57.33,80.99,24.96,35499,8,Bachelor,0.7846,-0.0644,0.336,56,0.4698,0.7273,ChatGPT
Teacher,Legal,96.19,High,64.47,63.5,52.65,68.86,61.05,88.84,69041,0,High School,0.5533,-0.055,0.3387,227,0.8403,0.5333,ChatGPT
Teacher,Marketing,89.66,High,29.33,44.29,53.94,32.61,11.09,57.32,61315,1,Bachelor,0.858,0.1026,0.751,230,0.9498,0.0624,Gemini
UX Designer,Healthcare,77.82,High,59.58,49.11,86.07,61.36,68.26,60.64,162371,2,Bachelor,0.1029,0.1483,0.6787,20,0.0678,0.6945,Gemini
Plumber,Retail,7.85,Low,57.29,68.25,9.76,5.22,98.42,16.9,150506,13,Master,0.7761,0.1168,0.7295,199,0.4888,0.4473,AutoGPT
Graphic Designer,Manufacturing,35.38,Medium,36.88,10.16,24.04,9.93,90.56,85.78,166066,3,Master,0.1638,0.0588,0.253,380,0.6864,0.7367,None
Data Analyst,Finance,29.82,Low,63.39,32.84,40.65,70.18,87.17,93.1,168561,9,High School,0.2252,0.0807,0.1702,397,0.8322,0.0364,Midjourney
Data Analyst,Construction,13.76,Low,24.85,7.53,86.58,36.81,30.22,77.5,121647,8,High School,0.1795,0.0307,0.7219,95,0.1632,0.5748,Copilot
UX Designer,Finance,99.96,High,49.85,7.34,93.89,67.13,75.08,94.08,62355,9,Bachelor,0.2384,0.0056,0.2985,42,0.5668,0.447,AutoGPT
Marketing Specialist,Healthcare,14.72,Low,62.62,19.58,99.27,83.17,85.11,30.23,103805,12,Bachelor,0.7318,0.073,0.2224,427,0.1629,0.4298,Copilot
Nurse,Finance,31.53,Medium,67.21,48.53,95.92,85.26,67.83,86.11,98367,5,Bachelor,0.6553,0.1433,0.2146,104,0.7554,0.5176,Midjourney
Customer Support,Manufacturing,88.01,High,40.25,78.48,0.59,17.22,25.06,48.89,139906,0,Master,0.2298,-0.0928,0.1484,339,0.2846,0.1237,Claude
Graphic Designer,Healthcare,14.44,Low,64.19,48.55,4.77,48.63,95.38,16.39,147409,11,Master,0.2702,-0.0215,0.4268,428,0.2688,0.9355,None
Sales Manager,Construction,46.95,Medium,50.67,33.55,14.76,73.39,45.08,66.88,107355,8,Bachelor,0.0993,-0.0175,0.2609,190,0.7698,0.7047,AutoGPT
Doctor,Tech,97.57,High,32.87,8.24,34.89,77.4,12.98,68.41,146220,5,Master,0.4144,0.0036,0.8939,293,0.842,0.0848,ChatGPT
Nurse,Legal,24.73,Low,48.16,55.03,82.99,78.47,10.98,28.69,117173,3,Bachelor,0.3786,0.0567,0.6891,32,0.3433,0.0795,Gemini
HR Specialist,Healthcare,70.31,High,38.23,27.13,89.27,22.82,64.75,2.75,31996,13,Master,0.1458,0.0284,0.7439,58,0.5011,0.2107,AutoGPT
Data Analyst,Energy,8.0,Low,41.51,61.49,18.68,19.25,43.77,19.98,74387,3,Bachelor,0.8346,-0.0953,0.4036,341,0.6935,0.2397,Gemini
Civil Engineer,Manufacturing,60.09,Medium,55.39,97.72,61.97,59.0,9.45,39.98,33089,2,High School,0.8526,0.0029,0.6002,230,0.7452,0.4922,Claude
Electrician,Healthcare,33.9,Medium,53.09,11.13,91.74,74.11,74.04,16.76,128827,6,Master,0.109,0.0549,0.5008,11,0.7701,0.5365,Gemini
Teacher,Healthcare,69.96,Medium,44.35,21.21,46.37,31.91,79.93,19.4,50659,2,Bachelor,0.2664,0.0262,0.1675,86,0.3904,0.1458,Claude
Product Manager,Energy,43.29,Medium,43.44,47.31,10.35,10.47,72.54,39.14,75178,1,Master,0.7361,0.118,0.0479,365,0.5363,0.9735,None
Nurse,Construction,29.9,Low,62.92,96.86,45.78,71.67,20.23,96.18,125965,9,Bachelor,0.87,-0.0004,0.6835,120,0.1095,0.8248,Midjourney
UX Designer,Healthcare,54.6,Medium,58.71,77.18,37.58,29.97,68.98,76.42,111268,7,High School,0.0717,-0.0969,0.1212,163,0.9486,0.6335,Claude
Consultant,Legal,13.97,Low,35.84,89.82,57.77,16.64,1.07,31.97,115042,3,High School,0.9024,-0.0288,0.0573,154,0.7014,0.2779,Copilot
Consultant,Finance,81.44,High,26.22,33.37,43.87,14.77,30.51,95.16,136471,7,Bachelor,0.0616,-0.0661,0.4419,308,0.3756,0.9103,AutoGPT
UX Designer,Construction,75.07,High,56.86,99.2,1.73,31.49,39.88,64.56,100111,0,Bachelor,0.6338,-0.0374,0.738,106,0.3896,0.3152,Claude
